Project,Specification,Area,Value
Ambrosia Alley,1 BHK Residential Apartment in Hadapsar,698 sq.ft. (65 sq.m.) Super built-up Area,₹ 55.55 Lac
Ambrosia Alley,2 BHK Residential Apartment in Hadapsar,"1,022 sq.ft. (95 sq.m.) Super built-up Area",₹ 77.77 Lac
Unika,2 BHK Residential Apartment in Hadapsar,767 sq.ft. (71 sq.m.) Carpet Area,₹ 68.2 Lac
Unika,3 BHK Residential Apartment in Hadapsar,955 sq.ft. (89 sq.m.) Carpet Area,₹ 89.56 Lac
Nyati Evolve,3 BHK Residential Apartment in Magarpatta,"963-1,241 sq.ft. (89-115 sq.m.) Carpet Area","₹ 1.06  - 1.36 Cr₹ 10,982/sq.ft."
Nyati Evolve,2 BHK Residential Apartment in Magarpatta,766-802 sq.ft. (71-75 sq.m.) Carpet Area,"₹ 84.9  - 88.75 Lac₹ 11,074/sq.ft."
Shapoorji Joyville Hadapsar Annexe,3 BHK Residential Apartment in Shewalewadi,894 sq.ft. (83 sq.m.) Carpet Area,₹ 78.9 Lac
Shapoorji Joyville Hadapsar Annexe,2 BHK Residential Apartment in Shewalewadi,725 sq.ft. (67 sq.m.) Carpet Area,₹ 64.9 Lac
Shapoorji Joyville Hadapsar Annexe,2 BHK Residential Apartment in Shewalewadi,619 sq.ft. (58 sq.m.) Carpet Area,₹ 56.9 Lac
Shapoorji Joyville Hadapsar Annexe,1 BHK Residential Apartment in Shewalewadi,430 sq.ft. (40 sq.m.) Carpet Area,₹ 37.5 Lac
Kumar Pebble Park,2 BHK Residential Apartment in Hadapsar,550-650 sq.ft. (51-60 sq.m.) Carpet Area,"₹ 39.16  - 44.86 Lac₹ 7,010/sq.ft."
Ratan Neptune,2 BHK Residential Apartment in Hadapsar,691 sq.ft. (64 sq.m.) Carpet Area,₹ 38.7 Lac
Ratan Neptune,1 BHK Residential Apartment in Hadapsar,435 sq.ft. (40 sq.m.) Carpet Area,₹ 25.41 Lac
Shapoorji Joyville Hadapsar Annexe,2 BHK Residential Apartment in Shewalewadi,619-726 sq.ft. (58-67 sq.m.) Carpet Area,₹ 47  - 58.5 Lac
Shapoorji Joyville Hadapsar Annexe,3 BHK Residential Apartment in Shewalewadi,894 sq.ft. (83 sq.m.) Carpet Area,₹ 77 Lac
Shapoorji Joyville Hadapsar Annexe,1 BHK Residential Apartment in Shewalewadi,370-552 sq.ft. (34-51 sq.m.) Carpet Area,₹ 31.75  - 47.37 Lac
Shapoorji Joyville Hadapsar Annexe,3 BHK Residential Apartment in Shewalewadi,820-894 sq.ft. (76-83 sq.m.) Carpet Area,₹ 71.45  - 77.9 Lac
Shapoorji Joyville Hadapsar Annexe,2 BHK Residential Apartment in Shewalewadi,560-908 sq.ft. (52-84 sq.m.) Carpet Area,₹ 50.5  - 81.87 Lac
Kumar Park Infinia Phase 4,2 BHK Residential Apartment in Hadapsar,539-767 sq.ft. (50-71 sq.m.) Carpet Area,"₹ 60  - 85.38 Lac₹ 11,123/sq.ft."
Godrej River Greens,2 BHK Residential Apartment in Manjri,568-691 sq.ft. (53-64 sq.m.) Carpet Area,"₹ 58.19  - 70.79 Lac₹ 10,238/sq.ft."
Godrej River Greens,3 BHK Residential Apartment in Manjri,788-952 sq.ft. (73-88 sq.m.) Carpet Area,"₹ 78.8  - 95.2 Lac₹ 9,993/sq.ft."
Kalpataru Serenity,2 BHK Residential Apartment in Manjri,720-743 sq.ft. (67-69 sq.m.) Carpet Area,"₹ 47  - 48.5 Lac₹ 6,527/sq.ft."
Kalpataru Serenity,3 BHK Residential Apartment in Manjri,"1,091 sq.ft. (101 sq.m.) Carpet Area","₹ 90 Lac₹ 8,249/sq.ft."
Kalpataru Serenity,3 BHK Residential Apartment in Manjri,"1,056-1,091 sq.ft. (98-101 sq.m.) Carpet Area","₹ 74.06  - 76.51 Lac₹ 7,013/sq.ft."
Kalpataru Serenity,2 BHK Residential Apartment in Manjri,561-902 sq.ft. (52-84 sq.m.) Carpet Area,"₹ 46.88  - 75.38 Lac₹ 8,357/sq.ft."
Godrej River Greens,2 BHK Residential Apartment in Manjri,568 sq.ft. (53 sq.m.) Carpet Area,"₹ 58.19 Lac₹ 10,232/sq.ft."
Godrej River Greens,3 BHK Residential Apartment in Manjri,788 sq.ft. (73 sq.m.) Carpet Area,"₹ 78.8 Lac₹ 9,987/sq.ft."
Wellwisher Kiarah Terrazo,2 BHK Residential Apartment in Hadapsar,697 sq.ft. (65 sq.m.) Carpet Area,"₹ 65 Lac₹ 9,324/sq.ft."
Wellwisher Kiarah Terrazo,1 BHK Residential Apartment in Hadapsar,381 sq.ft. (35 sq.m.) Carpet Area,"₹ 37.53 Lac₹ 9,844/sq.ft."
Kumar Prospera,3 BHK Residential Apartment in Hadapsar,"1,009-1,242 sq.ft. (94-115 sq.m.) Carpet Area","₹ 1.35  - 1.66 Cr₹ 13,379/sq.ft."
Kumar Prospera,2 BHK Residential Apartment in Hadapsar,678-870 sq.ft. (63-81 sq.m.) Carpet Area,"₹ 95 Lac - 1.22 Cr₹ 14,010/sq.ft."
Gini Sanskruti,3 BHK Residential Apartment in Udyog Nagar,"1,400 sq.ft. (130 sq.m.) Super built-up Area","₹ 72 Lac₹ 5,142/sq.ft."
Shapoorji Joyville Hadapsar Annexe,1 BHK Residential Apartment in Shewalewadi,430-476 sq.ft. (40-44 sq.m.) Carpet Area,₹ 36.9  - 40.85 Lac
Shapoorji Joyville Hadapsar Annexe,2 BHK Residential Apartment in Shewalewadi,619-726 sq.ft. (58-67 sq.m.) Carpet Area,₹ 47  - 58.58 Lac
Sanskriti Apartment,2 BHK Residential Apartment in Hadapsar,"1,070 sq.ft. (99 sq.m.) Super built-up Area","₹ 65 Lac₹ 6,074/sq.ft."
Shapoorji Joyville Hadapsar Annexe,3 BHK Residential Apartment in Shewalewadi,894 sq.ft. (83 sq.m.) Carpet Area,₹ 79.3 Lac
Shapoorji Joyville Hadapsar Annexe,1 BHK Residential Apartment in Shewalewadi,430 sq.ft. (40 sq.m.) Carpet Area,₹ 37.5 Lac
Shapoorji Joyville Hadapsar Annexe,2 BHK Residential Apartment in Shewalewadi,619-726 sq.ft. (58-67 sq.m.) Carpet Area,₹ 57  - 65.1 Lac
Panchshil One North,4 BHK Residential Apartment in Hadapsar,"3,350 sq.ft. (311 sq.m.) Super built-up Area","₹ 3.15 Cr₹ 9,402/sq.ft."
Kumar Prospera,3 BHK Residential Apartment in Hadapsar,"1,238-1,242 sq.ft. (115-115 sq.m.) Carpet Area","₹ 1.38  - 1.38 Cr₹ 11,148/sq.ft."
Kumar Prospera,2 BHK Residential Apartment in Hadapsar,864-870 sq.ft. (80-81 sq.m.) Carpet Area,"₹ 95  - 95.66 Lac₹ 10,995/sq.ft."
Kumar Prospera,3 BHK Residential Apartment in Hadapsar,"1,009-1,101 sq.ft. (94-102 sq.m.) Carpet Area","₹ 1.4  - 1.53 Cr₹ 13,880/sq.ft."
Kumar Prospera,2 BHK Residential Apartment in Hadapsar,678-864 sq.ft. (63-80 sq.m.) Carpet Area,"₹ 94.99 Lac - 1.21 Cr₹ 14,006/sq.ft."
Kalpataru Serenity,3 BHK Residential Apartment in Manjri,"1,056-1,091 sq.ft. (98-101 sq.m.) Carpet Area","₹ 53.99  - 65.45 Lac₹ 5,556/sq.ft."
Panchshil One North,4 BHK Residential Apartment in Hadapsar,"3,251 sq.ft. (302 sq.m.) Super built-up Area","₹ 3.42 Cr₹ 10,519/sq.ft."
on request,2 BHK Residential Apartment in Hadapsar,"1,165 sq.ft. (108 sq.m.) Super built-up Area","₹ 98 Lac₹ 8,412/sq.ft."
Panchshil One North,4 BHK Residential Apartment in Hadapsar,"3,250 sq.ft. (302 sq.m.) Super built-up Area","₹ 3.5 Cr₹ 10,769/sq.ft."
Orchid Society,3 BHK Residential Apartment in Hadapsar,"1,850 sq.ft. (172 sq.m.) Super built-up Area","₹ 1.75 Cr₹ 9,459/sq.ft."
Amanora Aspire Towers,3 BHK Residential Apartment in Hadapsar,"1,398 sq.ft. (130 sq.m.) Super built-up Area","₹ 1.25 Cr₹ 8,941/sq.ft."
Amanora Aspire Towers,2 BHK Residential Apartment in Hadapsar,"1,405 sq.ft. (131 sq.m.) Super built-up Area","₹ 1.2 Cr₹ 8,540/sq.ft."
Panchshil One North,3 BHK Residential Apartment in Hadapsar,"2,650 sq.ft. (246 sq.m.) Built-up Area","₹ 2.75 Cr₹ 10,377/sq.ft."
Amanora Sweet Water Villa Plots,4 Bedroom Independent House in Hadapsar,"7,400 sq.ft. (687 sq.m.) Plot Area","₹ 9 Cr₹ 20,000/sq.ft."
Amanora Future Towers,2 BHK Residential Apartment in Hadapsar,"1,235 sq.ft. (115 sq.m.) Super built-up Area","₹ 1 Cr₹ 8,098/sq.ft."
Amanora Park Town,3 BHK Residential Apartment in Hadapsar,"1,074 sq.ft. (100 sq.m.) Built-up Area","₹ 76.5 Lac₹ 7,122/sq.ft."
Amanora Park Town,(1 RK) Studio Apartment in Hadapsar,471 sq.ft. (44 sq.m.) Built-up Area,"₹ 37 Lac₹ 7,855/sq.ft."
Amanora Future Towers,4 BHK Residential Apartment in Hadapsar,"2,154 sq.ft. (200 sq.m.) Built-up Area","₹ 1.71 Cr₹ 7,938/sq.ft."
Amanora Trendy Homes,2 BHK Residential Apartment in Hadapsar,850 sq.ft. (79 sq.m.) Super built-up Area,"₹ 70 Lac₹ 8,235/sq.ft."
Amanora Future Towers,1 BHK Residential Apartment in Hadapsar,756 sq.ft. (70 sq.m.) Super built-up Area,"₹ 70 Lac₹ 9,259/sq.ft."
Amanora Park Town,3 BHK Residential Apartment in Hadapsar,"1,072 sq.ft. (100 sq.m.) Super built-up Area","₹ 85 Lac₹ 7,929/sq.ft."
Panchshil One North,4 BHK Residential Apartment in Hadapsar,"4,750 sq.ft. (441 sq.m.) Super built-up Area","₹ 4.6 Cr₹ 9,684/sq.ft."
Amanora Park Town,(1 RK) Studio Apartment in Hadapsar,468 sq.ft. (43 sq.m.) Super built-up Area,"₹ 32.5 Lac₹ 6,945/sq.ft."
Marvel Bounty,4 BHK Residential Apartment in Hadapsar,"4,665 sq.ft. (433 sq.m.) Built-up Area","₹ 2.8 Cr₹ 6,002/sq.ft."
